origtime,latitude,longitude,depth,magnitude,rms,relocated,startRms,locChange,depthChange,timeChange,numNeighbours,neigh_meanDistToCentroid,neigh_centroidToEventDist,neigh_meanDepthDistToCentroid,neigh_centroidToEventDepthDist,ph_usedP,ph_usedS,ph_stationDistMin,ph_stationDistMedian,ph_stationDistMax,ddObs_numTTp,ddObs_numTTs,ddObs_numCCp,ddObs_numCCs,ddObs_startResidualMedian,ddObs_startResidualMAD,ddObs_finalResidualMedian,ddObs_finalResidualMAD
2021-01-24T11:58:41.022555Z,64.056194,-21.398422,3.2242,-0.13,0.271,true,0.262,0.260,0.167,-0.015,64,0.261,0.088,0.162,0.059,10,4,3.592,5.727,7.910,235,16,261,85,-0.0140,0.0128,0.0007,0.0010
2021-01-24T11:53:51.551362Z,64.056396,-21.397998,3.2557,-0.12,0.261,true,2.540,0.200,0.071,-0.006,55,0.344,0.126,0.195,0.160,7,4,3.626,5.797,7.951,149,6,180,60,-0.0104,0.0097,-0.0000,0.0011
2021-01-24T07:38:11.823825Z,64.050740,-21.392095,2.2210,0.10,0.169,true,0.346,0.125,0.201,0.002,80,0.136,0.017,0.066,-0.006,13,8,2.559,4.989,7.256,514,40,186,211,0.0023,0.0140,0.0005,0.0023
2021-01-24T05:52:12.620306Z,64.126315,-21.360612,3.6101,0.16,0.544,true,0.833,1.117,0.191,-0.139,63,0.920,0.303,0.606,-0.191,15,10,5.366,9.747,15.339,371,128,287,92,-0.0025,0.0135,0.0008,0.0020
2021-01-24T05:47:03.812222Z,64.127317,-21.360635,3.6168,0.51,0.504,true,0.501,0.237,-0.212,0.000,57,1.525,0.676,0.445,-0.228,21,11,5.415,10.489,15.442,346,75,454,209,0.0147,0.0119,-0.0003,0.0034
2021-01-24T05:45:11.93078Z,64.126825,-21.360372,3.5988,0.28,0.299,true,0.284,0.573,0.102,-0.055,62,1.186,0.482,0.472,-0.280,17,11,5.373,9.958,15.383,319,79,415,216,-0.0046,0.0069,0.0008,0.0020
2021-01-24T05:04:07.518468Z,64.127574,-21.360463,3.4746,0.29,0.114,true,0.430,1.246,-1.201,-0.145,50,3.167,1.560,0.247,-0.372,15,4,5.319,10.674,15.429,176,42,392,35,-0.2668,0.0440,0.0005,0.0035
2021-01-24T03:42:10.105254Z,64.127286,-21.359888,3.6251,-0.14,0.170,true,0.139,0.982,0.768,-0.111,56,1.427,0.595,0.640,-0.603,8,4,5.400,7.556,12.670,141,36,238,89,0.0221,0.0223,0.0008,0.0034
2021-01-24T01:28:25.339046Z,64.126667,-21.359515,3.6270,0.76,0.105,true,0.382,0.645,-0.999,-0.200,51,2.273,1.079,0.344,-0.297,14,1,5.364,8.105,11.447,160,8,354,12,-0.1572,0.0316,-0.0013,0.0007
2021-01-24T01:22:43.260948Z,64.060152,-21.186778,4.5133,0.77,0.106,true,0.122,0.184,-0.361,0.028,78,0.426,0.042,0.374,-0.111,17,1,5.380,8.475,11.356,400,16,477,29,-0.0289,0.0086,-0.0003,0.0014
